restaurant_id,restaurant_name,restaurant_type,Rating,num_of_ratings,avg_cost,online_order,table_booking,cuisines_type,area,local_address
2653,Curry Point,Quick Bites,3.2,7,300,No,No,North Indian,Whitefield,Whitefield
2654,Curry Pot,Casual Dining,3.4,11,650,No,No,"North Indian, Chinese, Continental, Italian",Lavelle Road,Majestic
2655,Curry with a 'K' - St. Mark's Hotel,Casual Dining,3.9,89,1400,No,No,"North Indian, Mughlai, Hyderabadi",Brigade Road,St. Marks Road
2656,Currylicious,Food Court,3.1,49,800,No,No,"South Indian, Mangalorean, Kerala",Malleshwaram,Malleshwaram
2657,CutePorkie,Quick Bites,3.3,4,400,No,No,Continental,Kalyan Nagar,Kammanahalli
2658,Cutlet Shop,Quick Bites,3.2,9,200,No,No,"Fast Food, Desserts",HSR,HSR
2659,D Fusion,Quick Bites,3.5,9,400,Yes,No,"Fast Food, Chinese","Byresandra,Tavarekere,Madiwala",Bommanahalli
2660,D View Cafe,"Cafe, Quick Bites",4,507,1000,Yes,No,"Cafe, Italian, Chinese, Beverages",Bannerghatta Road,JP Nagar
2661,D2V Cafe,Cafe,3.6,13,700,No,No,Cafe,Bannerghatta Road,Bannerghatta Road
2662,D'7 Feast Resto Cafe,Casual Dining,4.1,147,600,No,No,"Burger, Pizza, Continental",New BEL Road,New BEL Road
2663,Daafoodies,Quick Bites,3.2,4,400,No,No,Kerala,Electronic City,Electronic City
2664,Daal Roti,Quick Bites,2.9,35,250,Yes,No,"North Indian, Chinese",Banashankari,Kumaraswamy Layout
2665,Daawat Restaurant Bar & Pub,"Bar, Casual Dining",3.5,9,700,Yes,No,"Finger Food, North Indian, Seafood, Mangalorean, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
2666,Daba Delights,Delivery,3.3,9,400,Yes,No,"North Indian, Mughlai","Byresandra,Tavarekere,Madiwala",Koramangala 4th Block
2667,Dabba Gosht,"Takeaway, Delivery",2.8,40,400,Yes,No,"Arabian, Middle Eastern",Electronic City,Electronic City
2668,Dabba Karkhana,"Takeaway, Delivery",3.5,17,300,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",BTM
2669,Dadaba's,Quick Bites,3.3,6,300,No,No,Fast Food,"Byresandra,Tavarekere,Madiwala",Jayanagar
2670,Dadi's Dum Biryani,Casual Dining,4,739,800,Yes,Yes,"Biryani, North Indian, Mughlai",Bannerghatta Road,Bannerghatta Road
2671,Dad's Coffee Club,Cafe,,40,200,No,No,"North Indian, South American, Cafe",Residency Road,Residency Road
2672,Dad's Cookhouse,Quick Bites,4,44,300,Yes,No,"North Indian, Street Food, Chinese, Fast Food",Bellandur,Sarjapur Road
2673,Daily Bite,Quick Bites,3.5,14,250,No,No,"Desserts, Fast Food",Lavelle Road,Richmond Road
2674,Daily Bread,"Bakery, Quick Bites",2.7,29,,No,No,"Bakery, Fast Food, Italian",Old Airport Road,Indiranagar
2675,Daily Sushi,Casual Dining,3.8,56,900,Yes,No,"Korean, Sushi",Brookefield,Whitefield
2676,Daivik,Casual Dining,3.3,6,650,No,No,"North Indian, South Indian, Chinese",Lavelle Road,Race Course Road
2677,Dakshin,Casual Dining,3.5,47,450,Yes,No,South Indian,Lavelle Road,Wilson Garden
2678,Dakshin - ITC Windsor,Fine Dining,4.3,202,4000,No,Yes,South Indian,Malleshwaram,Sankey Road
2679,Dakshin Biryani & Tiffin,Casual Dining,3.4,334,550,Yes,No,"Andhra, South Indian, North Indian",Brigade Road,Indiranagar
2680,Dakshin Cafe,Quick Bites,3.7,19,100,Yes,No,South Indian,Banashankari,Kumaraswamy Layout
2681,Dakshin Flavors,Casual Dining,3,206,600,Yes,No,"South Indian, North Indian",HSR,HSR
2682,Dakshin Food Palace,Casual Dining,3.7,42,450,Yes,No,"South Indian, North Indian, Chinese",Bannerghatta Road,JP Nagar
2683,Dakshin Grand,Quick Bites,3,82,300,Yes,No,"South Indian, North Indian, Chinese, Street Food",Banashankari,Banashankari
2684,Dakshin Kitchen,Quick Bites,3.6,15,100,Yes,No,South Indian,Banashankari,Basavanagudi
2685,Dakshin Restaurant,Casual Dining,3.6,16,800,Yes,No,"Mangalorean, Seafood, North Indian, Chinese",Brigade Road,Brigade Road
2686,Dakshin Sagar,Quick Bites,3.1,325,400,Yes,No,"South Indian, North Indian, Chinese, Street Food",HSR,HSR
2687,Dakshin Spice,Casual Dining,3.8,384,800,Yes,Yes,"South Indian, North Indian, Chinese, Biryani",Brookefield,Marathahalli
2688,Dal Chawal Roti,Quick Bites,3.3,10,,No,No,"North Indian, Chinese",Old Airport Road,Indiranagar
2689,Dal Roti,Quick Bites,3.7,117,150,Yes,No,North Indian,Bannerghatta Road,JP Nagar
2690,Dal Roti Sabji,Quick Bites,4.1,81,150,Yes,No,North Indian,Indiranagar,Indiranagar
2691,Dal Tadkaa,Casual Dining,2.5,247,500,Yes,No,North Indian,Banashankari,Banashankari
2692,Dalchini,Casual Dining,4,225,700,No,No,North Indian,Bellandur,Bellandur
2693,Dalma,Casual Dining,3.9,475,600,Yes,No,Oriya,"Byresandra,Tavarekere,Madiwala",Koramangala 6th Block
2694,Dambal's Veg,Quick Bites,3.2,11,250,Yes,No,South Indian,Malleshwaram,Yeshwantpur
2695,Damodar Seth,Casual Dining,3.1,152,600,Yes,No,"Bengali, Chinese, North Indian",Brookefield,Marathahalli
2696,Danapani,Casual Dining,3.8,59,400,No,No,"North Indian, South Indian, Chinese",Bannerghatta Road,JP Nagar
2697,Dande Hyderabad Biryani,Quick Bites,2.8,40,500,Yes,No,"Biryani, Andhra, North Indian",Electronic City,Electronic City
2698,Dande's Hyderabad Biryani,Casual Dining,3,255,550,Yes,No,"Biryani, North Indian, Chinese",HSR,Bommanahalli
2699,Daniyal's,Casual Dining,3.5,178,800,Yes,No,"North Indian, Biryani, Mughlai, Kebab",Brookefield,Marathahalli
2700,Danny Lambas Punjabi Dhaba,Casual Dining,3.5,98,600,Yes,No,"North Indian, Chinese, Biryani",Brigade Road,Indiranagar
2701,Darbar,Bar,3,98,800,No,No,"North Indian, Chinese",Banashankari,Banashankari
2702,Darjeeling Hot Momos,Quick Bites,,40,300,No,No,"Momos, Fast Food",Koramangala 6th Block,Koramangala 5th Block
2703,Darjeeling Momo Adda,Quick Bites,3.1,81,200,Yes,No,"Chinese, Tibetan, North Indian, Momos",Bannerghatta Road,Bannerghatta Road
2704,Darjeeling Momos & Fast Food Center,Quick Bites,3.8,37,250,Yes,No,"Fast Food, Momos",Bannerghatta Road,Bannerghatta Road
2705,Darshan Paradise Restaurant,Quick Bites,2.8,40,250,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM
2706,Daryaganj Chowk,Quick Bites,3.1,13,400,No,No,"North Indian, Fast Food",Malleshwaram,Sanjay Nagar
2707,Dasaprakash Cafe,Cafe,3.1,10,400,No,No,Cafe,Brigade Road,MG Road
2708,Dash In,Casual Dining,3.1,53,600,No,No,"North Indian, Chinese, Kerala","Byresandra,Tavarekere,Madiwala",BTM
2709,Dashabhuja Kitchen & Catering,"Takeaway, Delivery",3,12,400,Yes,No,"North Indian, Chinese",Old Airport Road,Thippasandra
2710,Dastarkhan,Quick Bites,2.8,40,400,No,No,Mughlai,Bannerghatta Road,Bannerghatta Road
2711,Davanagere Bene Dosa Hotel,Quick Bites,3.3,4,100,No,No,South Indian,Malleshwaram,Rajajinagar
2712,Davanagere Benne Dosa,Quick Bites,2.8,40,150,No,No,South Indian,Basavanagudi,Jayanagar
2713,Davanagere Benne Dosa Hotel,Quick Bites,3.1,19,150,Yes,No,South Indian,Marathahalli,Kaggadasapura
2714,Davanagere Benne Dose,Quick Bites,3.9,106,150,Yes,No,South Indian,"Byresandra,Tavarekere,Madiwala",HSR
2715,Davanagere Benne Dose Hut,Quick Bites,3.4,10,100,Yes,No,South Indian,Banashankari,Banashankari
2716,Davanagere Butter Dosa Hotel,Quick Bites,3.7,43,150,No,No,South Indian,Rajajinagar,Basaveshwara Nagar
2717,Davangere Benna Dose Hotel,Quick Bites,4.1,90,100,Yes,No,South Indian,Basavanagudi,Jayanagar
2718,Davangere Butter Dosa Hotel,Quick Bites,3.8,25,150,Yes,No,South Indian,Banashankari,Kumaraswamy Layout
